ID,Ticker,Action,Type,Side,Price,Volume,Cancel_Target_ID
0,2211,Add,M,Sell,-1,402,-1
1,1131,Add,M,Sell,-1,380,-1
2,1131,Add,L,Buy,76.03,69,-1
3,1131,Add,M,Buy,-1,558,-1
4,-1,Cancel,-1,-1,-1,-1,2
5,2313,Add,M,Buy,-1,138,-1
6,2211,Add,L,Buy,170.16,556,-1
7,2313,Add,L,Sell,49.52,153,-1
8,-1,Cancel,-1,-1,-1,-1,7
9,1131,Add,M,Buy,-1,253,-1
10,-1,Cancel,-1,-1,-1,-1,6
11,2313,Add,M,Sell,-1,263,-1
12,2313,Add,M,Buy,-1,314,-1
13,2313,Add,L,Sell,141.25,373,-1
14,-1,Cancel,-1,-1,-1,-1,13
15,2211,Add,M,Sell,-1,284,-1
16,2211,Add,L,Sell,104.23,293,-1
17,2211,Add,L,Buy,173.65,18,-1
18,2313,Add,M,Sell,-1,475,-1
19,-1,Cancel,-1,-1,-1,-1,16
20,1131,Add,L,Sell,91.90,81,-1
21,2313,Add,L,Buy,107.75,201,-1
22,2313,Add,M,Sell,-1,404,-1
23,2313,Add,M,Sell,-1,58,-1
24,1131,Add,L,Sell,237.73,213,-1
25,2211,Add,L,Sell,170.13,145,-1
26,-1,Cancel,-1,-1,-1,-1,20
27,-1,Cancel,-1,-1,-1,-1,24
28,1131,Add,L,Buy,111.98,548,-1
29,-1,Cancel,-1,-1,-1,-1,21
30,-1,Cancel,-1,-1,-1,-1,17
31,-1,Cancel,-1,-1,-1,-1,28
32,-1,Cancel,-1,-1,-1,-1,25
33,1131,Add,L,Sell,164.68,155,-1
34,2313,Add,L,Sell,185.66,419,-1
35,2313,Add,L,Sell,195.45,57,-1
36,2313,Add,L,Buy,118.29,33,-1
37,2313,Add,L,Sell,179.76,578,-1
38,-1,Cancel,-1,-1,-1,-1,33
39,2211,Add,M,Sell,-1,61,-1
40,2313,Add,L,Sell,150.34,587,-1
41,-1,Cancel,-1,-1,-1,-1,37
42,-1,Cancel,-1,-1,-1,-1,36
43,1131,Add,M,Sell,-1,218,-1
44,-1,Cancel,-1,-1,-1,-1,34
45,-1,Cancel,-1,-1,-1,-1,40
46,2313,Add,M,Sell,-1,472,-1
47,2313,Add,M,Buy,-1,355,-1
48,2313,Add,M,Buy,-1,328,-1
49,-1,Cancel,-1,-1,-1,-1,35
50,2313,Add,L,Sell,108.83,116,-1
51,2211,Add,L,Sell,152.47,45,-1
52,-1,Cancel,-1,-1,-1,-1,50
53,1131,Add,L,Sell,73.55,186,-1
54,2211,Add,M,Buy,-1,32,-1
55,-1,Cancel,-1,-1,-1,-1,51
56,-1,Cancel,-1,-1,-1,-1,53
57,2211,Add,L,Buy,64.91,311,-1
58,-1,Cancel,-1,-1,-1,-1,57
59,1131,Add,M,Sell,-1,137,-1
60,1131,Add,L,Sell,235.67,537,-1
61,-1,Cancel,-1,-1,-1,-1,60
62,2313,Add,M,Buy,-1,287,-1
63,1131,Add,L,Buy,76.24,488,-1
64,2211,Add,L,Buy,159.59,136,-1
65,-1,Cancel,-1,-1,-1,-1,64
66,-1,Cancel,-1,-1,-1,-1,63
67,2313,Add,L,Sell,56.95,320,-1
68,-1,Cancel,-1,-1,-1,-1,67
69,1131,Add,L,Sell,72.34,354,-1
70,-1,Cancel,-1,-1,-1,-1,69
71,2211,Add,L,Buy,149.21,52,-1
72,2313,Add,L,Buy,177.34,359,-1
73,2211,Add,L,Buy,137.96,135,-1
74,-1,Cancel,-1,-1,-1,-1,72
75,-1,Cancel,-1,-1,-1,-1,71
76,2313,Add,L,Buy,185.51,565,-1
77,2313,Add,L,Sell,155.33,332,-1
78,-1,Cancel,-1,-1,-1,-1,76
79,-1,Cancel,-1,-1,-1,-1,77
80,-1,Cancel,-1,-1,-1,-1,73
81,1131,Add,L,Buy,194.98,167,-1
82,1131,Add,L,Buy,92.85,135,-1
83,1131,Add,L,Sell,177.71,412,-1
84,-1,Cancel,-1,-1,-1,-1,82
85,2313,Add,L,Sell,203.17,4,-1
86,-1,Cancel,-1,-1,-1,-1,81
87,1131,Add,L,Buy,71.64,270,-1
88,2211,Add,M,Buy,-1,167,-1
89,-1,Cancel,-1,-1,-1,-1,87
90,-1,Cancel,-1,-1,-1,-1,83
91,-1,Cancel,-1,-1,-1,-1,85
92,2313,Add,M,Sell,-1,433,-1
93,2313,Add,L,Buy,76.41,56,-1
94,2211,Add,L,Sell,78.16,266,-1
95,1131,Add,L,Buy,74.95,268,-1
96,-1,Cancel,-1,-1,-1,-1,93
97,2313,Add,M,Buy,-1,482,-1
98,2211,Add,M,Buy,-1,74,-1
99,-1,Cancel,-1,-1,-1,-1,94
100,-1,Cancel,-1,-1,-1,-1,95
101,1131,Add,L,Buy,142.11,430,-1
102,-1,Cancel,-1,-1,-1,-1,101
103,1131,Add,M,Sell,-1,366,-1
104,2313,Add,M,Sell,-1,329,-1
105,2211,Add,L,Buy,168.18,254,-1
106,1131,Add,M,Buy,-1,238,-1
107,-1,Cancel,-1,-1,-1,-1,105
108,2211,Add,M,Buy,-1,163,-1
109,1131,Add,L,Sell,158.13,249,-1
110,-1,Cancel,-1,-1,-1,-1,109
111,2211,Add,M,Buy,-1,564,-1
112,1131,Add,L,Sell,169.84,25,-1
113,-1,Cancel,-1,-1,-1,-1,112
114,1131,Add,L,Buy,121.47,552,-1
