ID,Ticker,Type,Side,Price,Volume
0,1131,L,Buy,49.8,101
1,2313,L,Sell,72.3,454
2,1131,L,Buy,50.0,102
3,2313,L,Buy,73.7,518
4,2211,L,Buy,101.9,6
5,2313,L,Buy,74.2,537
6,2313,L,Sell,73.9,520
7,1131,L,Buy,50.4,98
8,2211,L,Buy,101.8,25
9,1131,L,Buy,50.0,107
10,1131,L,Sell,50.1,94
11,1131,L,Buy,50.6,97
12,1131,M,Buy,-1.0,115
13,1131,L,Sell,49.3,83
14,2211,L,Sell,101.7,22
15,1131,M,Buy,-1.0,98
16,1131,L,Buy,49.1,112
17,2313,L,Sell,74.9,510
18,1131,L,Sell,48.5,110
19,1131,L,Buy,48.5,106
20,2313,L,Sell,74.7,466
21,2313,M,Sell,-1.0,490
22,2313,L,Buy,73.2,522
23,1131,M,Sell,-1.0,106
24,1131,L,Sell,47.9,107
25,1131,L,Buy,47.9,95
26,2313,L,Buy,74.2,481
27,2211,L,Sell,101.4,30
28,2313,L,Buy,73.8,522
29,1131,L,Buy,47.4,87
30,2211,L,Buy,101.8,24
31,2313,L,Buy,73.9,525
32,2211,L,Buy,101.9,23
33,1131,L,Sell,47.4,94
34,2211,L,Sell,101.9,6
35,1131,M,Buy,-1.0,101
36,2211,M,Sell,-1.0,24
37,2313,L,Sell,73.4,516
38,2313,L,Buy,74.3,500
39,2313,L,Buy,73.8,479
40,2313,L,Buy,73.1,522
41,1131,M,Buy,-1.0,114
42,2211,L,Buy,102.3,34
43,2211,L,Buy,102.3,32
44,1131,L,Buy,45.9,91
45,1131,L,Sell,46.0,104
46,2211,L,Buy,102.4,17
47,2313,L,Sell,72.9,483
48,2313,M,Buy,-1.0,536
49,2313,L,Sell,73.0,495
50,2313,M,Sell,-1.0,475
51,1131,L,Buy,47.0,112
52,1131,L,Sell,47.3,95
53,1131,L,Buy,47.7,95
54,2313,L,Sell,73.3,482
55,1131,L,Sell,47.1,95
56,2211,L,Buy,102.4,22
57,2313,M,Sell,-1.0,487
58,2313,L,Sell,74.5,490
59,1131,L,Buy,47.4,108
60,1131,L,Buy,47.8,99
61,2313,M,Buy,-1.0,452
62,1131,L,Buy,47.6,101
63,2313,M,Sell,-1.0,503
64,1131,L,Buy,47.7,96
65,2211,L,Buy,102.3,37
66,1131,L,Sell,48.0,113
67,1131,L,Sell,48.1,89
68,1131,L,Buy,48.4,112
69,2313,M,Buy,-1.0,519
70,2211,L,Sell,102.3,10
71,2313,M,Sell,-1.0,512
72,1131,L,Sell,48.0,99
73,2211,L,Buy,102.4,23
74,2211,L,Buy,102.4,21
75,1131,L,Sell,48.6,113
76,2211,L,Buy,102.3,32
77,2211,M,Buy,-1.0,9
78,1131,L,Sell,49.3,94
79,1131,L,Buy,48.7,96
80,2211,M,Buy,-1.0,15
81,1131,L,Sell,48.7,88
82,1131,L,Buy,48.2,101
83,2211,L,Sell,102.1,19
84,2211,L,Sell,102.1,11
85,2211,L,Buy,101.9,23
86,2211,M,Buy,-1.0,36
87,2313,L,Buy,75.0,494
88,1131,L,Buy,48.0,87
89,1131,L,Buy,48.5,101
90,1131,L,Sell,48.2,87
91,1131,L,Buy,47.9,106
92,1131,L,Sell,48.6,96
93,2211,L,Buy,102.1,16
94,2313,L,Sell,74.7,542
95,2313,M,Sell,-1.0,490
96,1131,L,Sell,48.8,87
97,2313,M,Buy,-1.0,523
98,1131,L,Sell,50.0,98
99,2211,M,Buy,-1.0,16
100,2211,L,Sell,101.9,5
101,1131,L,Buy,50.2,102
102,2313,L,Sell,74.1,493
103,2313,L,Buy,74.9,498
104,2313,L,Buy,75.8,504
105,1131,L,Buy,49.8,93
106,2211,L,Sell,101.8,27
107,2211,L,Sell,101.6,29
108,2211,L,Sell,101.6,21
109,2211,L,Buy,101.7,25
110,2211,L,Buy,101.8,16
111,2211,L,Sell,102.2,5
112,1131,L,Buy,49.9,114
113,1131,L,Sell,48.4,105
114,2211,L,Sell,102.5,10
115,2211,L,Sell,102.4,32
116,1131,M,Buy,-1.0,104
117,1131,L,Sell,48.3,93
118,2211,M,Buy,-1.0,15
119,2211,L,Sell,102.0,36
120,2313,L,Sell,75.9,500
121,2313,L,Buy,75.4,492
122,1131,L,Buy,47.7,99
123,2211,L,Buy,101.8,11
124,2313,L,Buy,75.5,488
125,2313,M,Sell,-1.0,489
126,1131,L,Buy,48.0,93
127,2211,L,Sell,101.8,8
128,2211,L,Buy,101.4,23
129,1131,L,Buy,48.4,88
130,2313,M,Buy,-1.0,500
131,1131,M,Buy,-1.0,97
132,1131,L,Buy,48.6,93
133,2211,L,Sell,101.5,21
134,2313,L,Buy,75.7,551
135,1131,M,Buy,-1.0,110
136,1131,L,Buy,49.8,104
137,2211,L,Buy,101.7,33
138,2313,L,Sell,75.3,510
139,2211,L,Buy,101.5,40
140,2211,M,Buy,-1.0,19
141,2313,L,Buy,75.9,499
142,2313,L,Sell,74.6,488
143,1131,L,Sell,49.2,81
144,2313,L,Sell,73.8,504
145,2313,L,Sell,74.7,447
146,1131,L,Sell,48.8,97
147,2313,L,Buy,76.1,532
148,1131,L,Sell,48.8,100
149,1131,L,Sell,48.7,108
150,1131,L,Sell,49.0,102
151,2211,L,Sell,101.3,38
152,2211,L,Sell,101.6,19
153,2211,L,Sell,101.6,32
154,2313,L,Buy,76.3,492
155,2211,M,Buy,-1.0,31
156,2211,M,Buy,-1.0,30
